year_from,year_to,mun_id_x,short_name_x,mun_id_y,short_name_y
2005,2019,1,Aeugst am Albis,1,Aeugst am Albis
2005,2019,2,Affoltern am Albis,2,Affoltern am Albis
2005,2019,3,Bonstetten,3,Bonstetten
2005,2019,4,Hausen am Albis,4,Hausen am Albis
2005,2019,5,Hedingen,5,Hedingen
2005,2019,6,Kappel am Albis,6,Kappel am Albis
2005,2019,7,Knonau,7,Knonau
2005,2019,8,Maschwanden,8,Maschwanden
2005,2019,9,Mettmenstetten,9,Mettmenstetten
2005,2019,10,Obfelden,10,Obfelden
2005,2019,11,Ottenbach,11,Ottenbach
2005,2019,12,Rifferswil,12,Rifferswil
2005,2019,13,Stallikon,13,Stallikon
2005,2019,14,Wettswil am Albis,14,Wettswil am Albis
2005,2019,21,Adlikon,21,Adlikon
2005,2019,22,Benken (ZH),22,Benken (ZH)
2005,2019,23,Berg am Irchel,23,Berg am Irchel
2005,2019,24,Buch am Irchel,24,Buch am Irchel
2005,2019,25,Dachsen,25,Dachsen
2005,2019,26,Dorf,26,Dorf
2005,2019,27,Feuerthalen,27,Feuerthalen
2005,2019,28,Flaach,28,Flaach
2005,2019,29,Flurlingen,29,Flurlingen
2005,2019,30,Andelfingen,30,Andelfingen
2005,2019,31,Henggart,31,Henggart
2005,2019,32,Humlikon,32,Humlikon
2005,2019,33,Kleinandelfingen,33,Kleinandelfingen
2005,2019,34,Laufen-Uhwiesen,34,Laufen-Uhwiesen
2005,2019,35,Marthalen,35,Marthalen
2005,2018,36,Oberstammheim,292,Stammheim
2005,2019,37,Ossingen,37,Ossingen
2005,2019,38,Rheinau,38,Rheinau
2005,2019,39,Thalheim an der Thur,39,Thalheim an der Thur
2005,2019,40,Trüllikon,40,Trüllikon
2005,2019,41,Truttikon,41,Truttikon
2005,2018,42,Unterstammheim,292,Stammheim
2005,2019,43,Volken,43,Volken
2005,2018,44,Waltalingen,292,Stammheim
2005,2019,51,Bachenbülach,51,Bachenbülach
2005,2019,52,Bassersdorf,52,Bassersdorf
2005,2019,53,Bülach,53,Bülach
2005,2019,54,Dietlikon,54,Dietlikon
2005,2019,55,Eglisau,55,Eglisau
2005,2019,56,Embrach,56,Embrach
2005,2019,57,Freienstein-Teufen,57,Freienstein-Teufen
2005,2019,58,Glattfelden,58,Glattfelden
2005,2019,59,Hochfelden,59,Hochfelden
2005,2019,60,Höri,60,Höri
2005,2019,61,Hüntwangen,61,Hüntwangen
2005,2019,62,Kloten,62,Kloten
2005,2019,63,Lufingen,63,Lufingen
2005,2019,64,Nürensdorf,64,Nürensdorf
2005,2019,65,Oberembrach,65,Oberembrach
2005,2019,66,Opfikon,66,Opfikon
