cId,cAbbreviation,cLongName,cDateOfChange
1,ZH,Zürich,1960-01-01
2,BE,Bern / Berne,1960-01-01
3,LU,Luzern,1960-01-01
4,UR,Uri,1960-01-01
5,SZ,Schwyz,1960-01-01
6,OW,Obwalden,1960-01-01
7,NW,Nidwalden,1960-01-01
8,GL,Glarus,1960-01-01
9,ZG,Zug,1960-01-01
10,FR,Fribourg / Freiburg,1960-01-01
11,SO,Solothurn,1960-01-01
12,BS,Basel-Stadt,1960-01-01
13,BL,Basel-Landschaft,1960-01-01
14,SH,Schaffhausen,1960-01-01
15,AR,Appenzell Ausserrhoden,1960-01-01
16,AI,Appenzell Innerrhoden,1960-01-01
17,SG,St. Gallen,1960-01-01
18,GR,Graubünden / Grigioni / Grischun,1960-01-01
19,AG,Aargau,1960-01-01
20,TG,Thurgau,1960-01-01
21,TI,Ticino,1960-01-01
22,VD,Vaud,1960-01-01
23,VS,Valais / Wallis,1960-01-01
24,NE,Neuchâtel,1960-01-01
25,GE,Genève,1960-01-01
26,JU,Jura,1979-01-01
