dHistId,cId,dId,dLongName,dShortName,dEntryMode,dAdmissionNumber,dAdmissionMode,dAdmissionDate,dAbolitionNumber,dAbolitionMode,dAbolitionDate,dDateOfChange
10001,20,2001,Bezirk Arbon,Arbon,District,100,First-time registration,1960-01-01,153,Abolition,2010-12-31,2010-12-31
10002,21,2106,Distretto di Mendrisio,Mendrisio,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10003,21,2105,Distretto di Lugano,Lugano,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10004,21,2104,Distretto di Locarno,Locarno,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10005,21,2103,Distretto di Leventina,Leventina,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10006,21,2102,Distretto di Blenio,Blenio,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10007,21,2101,Distretto di Bellinzona,Bellinzona,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10008,20,2008,Bezirk Weinfelden,Weinfelden,District,100,First-time registration,1960-01-01,153,Abolition,2010-12-31,2010-12-31
10009,20,2007,Bezirk Steckborn,Steckborn,District,100,First-time registration,1960-01-01,153,Abolition,2010-12-31,2010-12-31
10010,20,2006,Bezirk Münchwilen,Münchwilen,District,100,First-time registration,1960-01-01,153,Abolition,2010-12-31,2010-12-31
10011,20,2005,Bezirk Kreuzlingen,Kreuzlingen,District,100,First-time registration,1960-01-01,153,Abolition,2010-12-31,2010-12-31
10012,20,2004,Bezirk Frauenfeld,Frauenfeld,District,100,First-time registration,1960-01-01,153,Abolition,2010-12-31,2010-12-31
10013,23,2308,District de Monthey,Monthey,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10014,20,2002,Bezirk Bischofszell,Bischofszell,District,100,First-time registration,1960-01-01,153,Abolition,2010-12-31,2010-12-31
10015,22,2201,District d'Aigle,Aigle,District,100,First-time registration,1960-01-01,151,Abolition,2006-08-31,2006-08-31
10016,19,1911,Bezirk Zurzach,Zurzach,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10017,19,1910,Bezirk Zofingen,Zofingen,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10018,19,1909,Bezirk Rheinfelden,Rheinfelden,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10019,19,1908,Bezirk Muri,Muri,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10020,19,1907,Bezirk Lenzburg,Lenzburg,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10021,19,1906,Bezirk Laufenburg,Laufenburg,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10022,19,1905,Bezirk Kulm,Kulm,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10023,19,1904,Bezirk Brugg,Brugg,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10024,19,1903,Bezirk Bremgarten,Bremgarten,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10025,19,1902,Bezirk Baden,Baden,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10026,19,1901,Bezirk Aarau,Aarau,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10027,20,2003,Bezirk Diessenhofen,Diessenhofen,District,100,First-time registration,1960-01-01,153,Abolition,2010-12-31,2010-12-31
10028,22,2213,District d'Oron,Oron,District,100,First-time registration,1960-01-01,151,Abolition,2006-08-31,2006-08-31
10029,23,2307,District de Martigny,Martigny,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10030,23,2306,Bezirk Leuk,Leuk,District,100,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
