mHistId,dHistId,cAbbreviation,mId,mLongName,mShortName,mEntryMode,mStatus,mAdmissionNumber,mAdmissionMode,mAdmissionDate,mAbolitionNumber,mAbolitionMode,mAbolitionDate,mDateOfChange
10001,10189,GR,3501,Alvaschein,Alvaschein,Municipality,1,1000,First-time registration,1960-01-01,1944,Reassignment to other d/c,2000-12-31,2000-12-31
10002,10192,SG,3403,Ganterschwil,Ganterschwil,Municipality,1,1000,First-time registration,1960-01-01,2253,Reassignment to other d/c,2002-12-31,2002-12-31
10003,10189,GR,3523,Wiesen (GR),Wiesen (GR),Municipality,1,1000,First-time registration,1960-01-01,1957,Reassignment to other d/c,2000-12-31,2000-12-31
10004,10189,GR,3522,Filisur,Filisur,Municipality,1,1000,First-time registration,1960-01-01,1956,Reassignment to other d/c,2000-12-31,2000-12-31
10005,10189,GR,3521,Bergün/Bravuogn,Bergün/Bravuogn,Municipality,1,1000,First-time registration,1960-01-01,1955,Reassignment to other d/c,2000-12-31,2000-12-31
10006,10189,GR,3515,Surava,Surava,Municipality,1,1000,First-time registration,1960-01-01,1954,Reassignment to other d/c,2000-12-31,2000-12-31
10007,10189,GR,3514,Schmitten (GR),Schmitten (GR),Municipality,1,1000,First-time registration,1960-01-01,1953,Reassignment to other d/c,2000-12-31,2000-12-31
10008,10189,GR,3513,Lantsch/Lenz,Lantsch/Lenz,Municipality,1,1000,First-time registration,1960-01-01,1952,Reassignment to other d/c,2000-12-31,2000-12-31
10009,10023,AG,4122,Villnachern,Villnachern,Municipality,1,1000,First-time registration,1960-01-01,NA,NA,NA,1960-01-01
10010,10189,GR,3511,Alvaneu,Alvaneu,Municipality,1,1000,First-time registration,1960-01-01,1950,Reassignment to other d/c,2000-12-31,2000-12-31
10011,10189,GR,3506,Vaz/Obervaz,Vaz/Obervaz,Municipality,1,1000,First-time registration,1960-01-01,1949,Reassignment to other d/c,2000-12-31,2000-12-31
10012,10189,GR,3505,Tiefencastel,Tiefencastel,Municipality,1,1000,First-time registration,1960-01-01,1948,Reassignment to other d/c,2000-12-31,2000-12-31
10013,10189,GR,3504,Stierva,Stierva,Municipality,1,1000,First-time registration,1960-01-01,1947,Reassignment to other d/c,2000-12-31,2000-12-31
10014,10189,GR,3532,Cunter,Cunter,Municipality,1,1000,First-time registration,1960-01-01,1959,Reassignment to other d/c,2000-12-31,2000-12-31
10015,10189,GR,3502,Mon,Mon,Municipality,1,1000,First-time registration,1960-01-01,1945,Reassignment to other d/c,2000-12-31,2000-12-31
10016,10189,GR,3533,Marmorera,Marmorera,Municipality,1,1000,First-time registration,1960-01-01,1960,Reassignment to other d/c,2000-12-31,2000-12-31
10017,10195,SG,3444,Waldkirch,Waldkirch,Municipality,1,1000,First-time registration,1960-01-01,2267,Reassignment to other d/c,2002-12-31,2002-12-31
10018,10195,SG,3443,Gossau (SG),Gossau (SG),Municipality,1,1000,First-time registration,1960-01-01,2266,Reassignment to other d/c,2002-12-31,2002-12-31
10019,10195,SG,3442,Gaiserwald,Gaiserwald,Municipality,1,1000,First-time registration,1960-01-01,2265,Reassignment to other d/c,2002-12-31,2002-12-31
10020,10195,SG,3441,Andwil (SG),Andwil (SG),Municipality,1,1000,First-time registration,1960-01-01,2264,Reassignment to other d/c,2002-12-31,2002-12-31
10021,10204,SG,3426,Zuzwil (SG),Zuzwil (SG),Municipality,1,1000,First-time registration,1960-01-01,2263,Reassignment to other d/c,2002-12-31,2002-12-31
10022,10204,SG,3425,Wil (SG),Wil (SG),Municipality,1,1000,First-time registration,1960-01-01,2262,Reassignment to other d/c,2002-12-31,2002-12-31
10023,10204,SG,3424,Oberbüren,Oberbüren,Municipality,1,1000,First-time registration,1960-01-01,2261,Reassignment to other d/c,2002-12-31,2002-12-31
10024,10204,SG,3423,Niederhelfenschwil,Niederhelfenschwil,Municipality,1,1000,First-time registration,1960-01-01,2260,Reassignment to other d/c,2002-12-31,2002-12-31
10025,10204,SG,3422,Niederbüren,Niederbüren,Municipality,1,1000,First-time registration,1960-01-01,2259,Reassignment to other d/c,2002-12-31,2002-12-31
10026,10204,SG,3421,Bronschhofen,Bronschhofen,Municipality,1,1000,First-time registration,1960-01-01,2258,Reassignment to other d/c,2002-12-31,2002-12-31
10027,10192,SG,3407,Oberuzwil,Oberuzwil,Municipality,1,1000,First-time registration,1960-01-01,2256,Reassignment to other d/c,2002-12-31,2002-12-31
10028,10192,SG,3406,Mogelsberg,Mogelsberg,Municipality,1,1000,First-time registration,1960-01-01,2255,Reassignment to other d/c,2002-12-31,2002-12-31
10029,10193,GR,3599,Surcasti,Surcasti,Municipality,1,1000,First-time registration,1960-01-01,1992,Reassignment to other d/c,2000-12-31,2000-12-31
10030,10189,GR,3503,Mutten,Mutten,Municipality,1,1000,First-time registration,1960-01-01,1946,Reassignment to other d/c,2000-12-31,2000-12-31
10031,10193,GR,3579,Riein,Riein,Municipality,1,1000,First-time registration,1960-01-01,1977,Reassignment to other d/c,2000-12-31,2000-12-31
10032,10172,SG,3232,Balgach,Balgach,Municipality,1,1000,First-time registration,1960-01-01,2192,Reassignment to other d/c,2002-12-31,2002-12-31
10033,10193,GR,3596,Morissen,Morissen,Municipality,1,1000,First-time registration,1960-01-01,1990,Reassignment to other d/c,2000-12-31,2000-12-31
10034,10193,GR,3595,Lumbrein,Lumbrein,Municipality,1,1000,First-time registration,1960-01-01,1989,Reassignment to other d/c,2000-12-31,2000-12-31
10035,10047,VD,5612,Villette (Lavaux),Villette (Lavaux),Municipality,1,1000,First-time registration,1960-01-01,2486,Reassignment to other d/c,2006-08-31,2006-08-31
10036,10193,GR,3593,Duvin,Duvin,Municipality,1,1000,First-time registration,1960-01-01,1987,Reassignment to other d/c,2000-12-31,2000-12-31
10037,10185,NE,6486,Villiers,Villiers,Municipality,1,1000,First-time registration,1960-01-01,3402,Abolition,2012-12-31,2012-12-31
10038,10193,GR,3591,Camuns,Camuns,Municipality,1,1000,First-time registration,1960-01-01,1985,Reassignment to other d/c,2000-12-31,2000-12-31
10039,10193,GR,3587,Versam,Versam,Municipality,1,1000,First-time registration,1960-01-01,1984,Reassignment to other d/c,2000-12-31,2000-12-31
10040,10193,GR,3586,Valendas,Valendas,Municipality,1,1000,First-time registration,1960-01-01,1983,Reassignment to other d/c,2000-12-31,2000-12-31
10041,10193,GR,3584,Sevgein,Sevgein,Municipality,1,1000,First-time registration,1960-01-01,1982,Reassignment to other d/c,2000-12-31,2000-12-31
10042,10193,GR,3583,Schnaus,Schnaus,Municipality,1,1000,First-time registration,1960-01-01,1981,Reassignment to other d/c,2000-12-31,2000-12-31
10043,10023,AG,4121,Villigen,Villigen,Municipality,1,1000,First-time registration,1960-01-01,2334,Change of area,2005-12-31,2005-12-31
10044,10189,GR,3531,Bivio,Bivio,Municipality,1,1000,First-time registration,1960-01-01,1958,Reassignment to other d/c,2000-12-31,2000-12-31
10045,10193,GR,3580,Ruschein,Ruschein,Municipality,1,1000,First-time registration,1960-01-01,1978,Reassignment to other d/c,2000-12-31,2000-12-31
10046,10192,SG,3402,Flawil,Flawil,Municipality,1,1000,First-time registration,1960-01-01,2252,Reassignment to other d/c,2002-12-31,2002-12-31
10047,10193,GR,3578,Pitasch,Pitasch,Municipality,1,1000,First-time registration,1960-01-01,1976,Reassignment to other d/c,2000-12-31,2000-12-31
10048,10193,GR,3577,Luven,Luven,Municipality,1,1000,First-time registration,1960-01-01,1975,Reassignment to other d/c,2000-12-31,2000-12-31
10049,10193,GR,3576,Ladir,Ladir,Municipality,1,1000,First-time registration,1960-01-01,1974,Reassignment to other d/c,2000-12-31,2000-12-31
10050,10193,GR,3575,Laax,Laax,Municipality,1,1000,First-time registration,1960-01-01,1973,Reassignment to other d/c,2000-12-31,2000-12-31
10051,10193,GR,3573,Flond,Flond,Municipality,1,1000,First-time registration,1960-01-01,1971,Reassignment to other d/c,2000-12-31,2000-12-31
